algorithm,configuration,seed,lstm_units,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,PURE_ML,47,16,0.3798104946095108,0.5901221748055699,0.6081024730167287,50,0.32816916704177856,0.29934585094451904
LSTM,PURE_ML,48,16,0.4105110805889135,0.6068773020365587,0.5855325361111663,50,0.3313848674297333,0.3253069221973419
LSTM,PURE_ML,49,16,0.4058055007377752,0.6060137218038949,0.5867112628331286,50,0.33011695742607117,0.3119305670261383
LSTM,PURE_ML,50,16,0.3892850003314662,0.6014776589263191,0.5928751085514463,50,0.3305891752243042,0.32080668210983276
LSTM,PURE_ML,51,16,0.41350860652620025,0.6040230294550649,0.5894220246681952,50,0.3305518925189972,0.3203105330467224
LSTM,ONLY_MECH,42,16,0.3837178061655372,0.5902514435658359,0.6079307605873945,50,0.3263848125934601,0.2940002381801605
LSTM,ONLY_MECH,43,16,0.34073833540200554,0.5786560922245346,0.6231836712033487,50,0.3266362249851227,0.28551456332206726
LSTM,ONLY_MECH,44,16,0.31869332363311986,0.581159801416342,0.6199158251120156,50,0.32881811261177063,0.2791239619255066
LSTM,ONLY_MECH,45,16,0.3518575802294284,0.5838303367764184,0.6164146870554913,50,0.3274453580379486,0.2998349666595459
LSTM,ONLY_MECH,46,16,0.338274439070522,0.579652831213957,0.6218844158845943,50,0.3251796066761017,0.28684598207473755
LSTM,ONLY_MECH,47,16,0.3377865236139201,0.5820472300654697,0.6187541648902566,50,0.32828328013420105,0.2922620177268982
LSTM,ONLY_MECH,48,16,0.439036582092503,0.6182627678142615,0.569835227345958,50,0.3285911977291107,0.32972005009651184
LSTM,ONLY_MECH,49,16,0.3875711340114839,0.5969860394118807,0.5989329304123627,50,0.32940903306007385,0.30200937390327454
LSTM,ONLY_MECH,50,16,0.35118955802500834,0.5806936142310792,0.6205253624650544,50,0.3253064453601837,0.28757035732269287
LSTM,ONLY_MECH,51,16,0.35269834192109045,0.5806508938060364,0.6205811947356175,50,0.3310231566429138,0.2814841866493225
LSTM,FULL_HYBRID,42,32,0.3916707524719095,0.5924082668968025,0.6050602243802563,50,0.32361993193626404,0.3040413558483124
LSTM,FULL_HYBRID,43,32,0.42742351095098696,0.6165166219485347,0.5722616058304862,50,0.3223857879638672,0.3305283784866333
LSTM,FULL_HYBRID,44,32,0.34435227040400795,0.5809700724881722,0.6201639537393707,50,0.3154594302177429,0.290968656539917
LSTM,FULL_HYBRID,45,32,0.42640975552465304,0.6091186928934323,0.5824653622465312,50,0.32162797451019287,0.3274136781692505
LSTM,FULL_HYBRID,46,32,0.4073073541268039,0.6064175342437793,0.5861602959800115,50,0.31723514199256897,0.3138622045516968
LSTM,FULL_HYBRID,47,32,0.42596852442723093,0.6102679236534407,0.5808883418143752,50,0.320097953081131,0.3266374468803406
LSTM,FULL_HYBRID,48,32,0.40227956073595517,0.5910148263414434,0.6069159644295958,50,0.3181994557380676,0.30905836820602417
LSTM,FULL_HYBRID,49,32,0.4434106519393754,0.628901105925691,0.5549043280683719,50,0.31845152378082275,0.3407808244228363
LSTM,FULL_HYBRID,50,32,0.382236985506292,0.5884006742097326,0.6103856198293575,50,0.31933462619781494,0.3042522370815277
LSTM,FULL_HYBRID,51,32,0.4043392732374418,0.5983248528024345,0.5971320304921448,50,0.3195527493953705,0.3084075152873993
LSTM,NO_TEMPORAL,42,32,0.44149522817456643,0.626314310697018,0.558558331662966,50,0.32722628116607666,0.33733823895454407
LSTM,NO_TEMPORAL,43,32,0.4257973009570189,0.6217655445546516,0.5649472102895969,50,0.3277815878391266,0.3284088671207428
LSTM,NO_TEMPORAL,44,32,0.4051211872233264,0.6070083821927207,0.5853534741263372,50,0.32583802938461304,0.30935344099998474
LSTM,NO_TEMPORAL,45,32,0.40042988812054797,0.597463823911251,0.5982907033006515,50,0.3257983326911926,0.3112952709197998
LSTM,NO_TEMPORAL,46,32,0.3986475011044647,0.5959085389329813,0.6003793962831878,50,0.3233279883861542,0.30841872096061707
LSTM,NO_TEMPORAL,47,32,0.3593698226079347,0.5845582416331259,0.6154576019131819,50,0.3247207701206207,0.2877981662750244
LSTM,NO_TEMPORAL,48,32,0.4562801915409971,0.6419666533920114,0.5362183158433762,50,0.33209311962127686,0.36557480692863464
LSTM,NO_TEMPORAL,49,32,0.42651763572802986,0.6213077523914166,0.5655876138614595,50,0.3242216408252716,0.3306691348552704
LSTM,NO_TEMPORAL,50,32,0.4240968329874099,0.6074058914902843,0.5848102202816906,50,0.32264870405197144,0.31999078392982483
LSTM,NO_TEMPORAL,51,32,0.38850216464517195,0.589223795347,0.6092947844129774,50,0.32147127389907837,0.30216509103775024
LSTM,NO_STATIC_MECH,42,32,0.40172270408638705,0.6040806168037985,0.5893437322091174,50,0.32361629605293274,0.31484973430633545
LSTM,NO_STATIC_MECH,43,32,0.3758754622342899,0.5904193677120482,0.6077076446312739,50,0.31709837913513184,0.30477389693260193
LSTM,NO_STATIC_MECH,44,32,0.42282555359614066,0.6182663836487683,0.5698301957986682,50,0.31979861855506897,0.3304549753665924
LSTM,NO_STATIC_MECH,45,32,0.43035588926263824,0.6155009208847858,0.5736698288963187,50,0.32086271047592163,0.34088245034217834
LSTM,NO_STATIC_MECH,46,32,0.3815327832359925,0.588561605428976,0.6101724668043673,50,0.31734225153923035,0.30309128761291504
LSTM,NO_STATIC_MECH,47,32,0.39636578238462394,0.5964009577884685,0.5997186840743665,50,0.319755494594574,0.3083290159702301
LSTM,NO_STATIC_MECH,48,32,0.3713980980495299,0.5874931422779288,0.6115865525444149,50,0.3203752934932709,0.3058947026729584
LSTM,NO_STATIC_MECH,49,32,0.4327901086377212,0.6289527372426865,0.5548312424310515,50,0.3209024965763092,0.34074532985687256
LSTM,NO_STATIC_MECH,50,32,0.3986922093497217,0.5944854625873143,0.6022857679907918,50,0.32362014055252075,0.3081509470939636
LSTM,NO_STATIC_MECH,51,32,0.3892395704598709,0.590564917492493,0.607514205502393,50,0.3243297338485718,0.29975080490112305
LSTM,PURE_ML,42,32,0.46332489728071996,0.6458180298447392,0.53063685502279,50,0.3315202593803406,0.3658338785171509
LSTM,PURE_ML,43,32,0.418623936680368,0.6051594639815819,0.587875613687119,50,0.3268519639968872,0.3231666386127472
LSTM,PURE_ML,44,32,0.3728068384928531,0.5869540375705482,0.6122990696053482,50,0.32476627826690674,0.2970907390117645
LSTM,PURE_ML,45,32,0.41335623090213985,0.6060334401026758,0.5866843674573652,50,0.3270677328109741,0.3216351568698883
LSTM,PURE_ML,46,32,0.429491232274419,0.6216697374371722,0.5650812734997529,50,0.330222487449646,0.3339035212993622
